DATAFLOW,LAST_UPDATE,freq,partner,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:MIGR_IMM12PRV(1.0),20/02/24 23:00:00,A,NEU27_2020_FOR,NR,AT,2013,35619,
ESTAT:MIGR_IMM12PRV(1.0),20/02/24 23:00:00,A,NEU27_2020_FOR,NR,AT,2014,43201,
ESTAT:MIGR_IMM12PRV(1.0),20/02/24 23:00:00,A,NEU27_2020_FOR,NR,AT,2015,91360,
ESTAT:MIGR_IMM12PRV(1.0),20/02/24 23:00:00,A,NEU27_2020_FOR,NR,AT,2016,59154,
ESTAT:MIGR_IMM12PRV(1.0),20/02/24 23:00:00,A,NEU27_2020_FOR,NR,AT,2017,42010,
ESTAT:MIGR_IMM12PRV(1.0),20/02/24 23:00:00,A,NEU27_2020_FOR,NR,AT,2018,35432,
ESTAT:MIGR_IMM12PRV(1.0),20/02/24 23:00:00,A,NEU27_2020_FOR,NR,AT,2019,35860,
ESTAT:MIGR_IMM12PRV(1.0),20/02/24 23:00:00,A,NEU27_2020_FOR,NR,AT,2020,32189,
ESTAT:MIGR_IMM12PRV(1.0),20/02/24 23:00:00,A,NEU27_2020_FOR,NR,AT,2021,47321,
ESTAT:MIGR_IMM12PRV(1.0),20/02/24 23:00:00,A,NEU27_2020_FOR,NR,BE,2013,46381,
ESTAT:MIGR_IMM12PRV(1.0),20/02/24 23:00:00,A,NEU27_2020_FOR,NR,BE,2014,47820,
ESTAT:MIGR_IMM12PRV(1.0),20/02/24 23:00:00,A,NEU27_2020_FOR,NR,BE,2015,72693,
ESTAT:MIGR_IMM12PRV(1.0),20/02/24 23:00:00,A,NEU27_2020_FOR,NR,BE,2016,53949,
ESTAT:MIGR_IMM12PRV(1.0),20/02/24 23:00:00,A,NEU27_2020_FOR,NR,BE,2017,56071,
ESTAT:MIGR_IMM12PRV(1.0),20/02/24 23:00:00,A,NEU27_2020_FOR,NR,BE,2018,63218,
ESTAT:MIGR_IMM12PRV(1.0),20/02/24 23:00:00,A,NEU27_2020_FOR,NR,BE,2019,69995,
ESTAT:MIGR_IMM12PRV(1.0),20/02/24 23:00:00,A,NEU27_2020_FOR,NR,BE,2020,49784,
ESTAT:MIGR_IMM12PRV(1.0),20/02/24 23:00:00,A,NEU27_2020_FOR,NR,BE,2021,64157,
ESTAT:MIGR_IMM12PRV(1.0),20/02/24 23:00:00,A,NEU27_2020_FOR,NR,BG,2013,14856,
ESTAT:MIGR_IMM12PRV(1.0),20/02/24 23:00:00,A,NEU27_2020_FOR,NR,BG,2014,22159,p
ESTAT:MIGR_IMM12PRV(1.0),20/02/24 23:00:00,A,NEU27_2020_FOR,NR,BG,2015,18958,p
ESTAT:MIGR_IMM12PRV(1.0),20/02/24 23:00:00,A,NEU27_2020_FOR,NR,BG,2016,14911,p
ESTAT:MIGR_IMM12PRV(1.0),20/02/24 23:00:00,A,NEU27_2020_FOR,NR,BG,2017,17799,p
ESTAT:MIGR_IMM12PRV(1.0),20/02/24 23:00:00,A,NEU27_2020_FOR,NR,BG,2018,20913,p
ESTAT:MIGR_IMM12PRV(1.0),20/02/24 23:00:00,A,NEU27_2020_FOR,NR,BG,2019,27755,p
ESTAT:MIGR_IMM12PRV(1.0),20/02/24 23:00:00,A,NEU27_2020_FOR,NR,BG,2020,23722,p
ESTAT:MIGR_IMM12PRV(1.0),20/02/24 23:00:00,A,NEU27_2020_FOR,NR,BG,2021,22784,
ESTAT:MIGR_IMM12PRV(1.0),20/02/24 23:00:00,A,NEU27_2020_FOR,NR,CH,2013,53629,
ESTAT:MIGR_IMM12PRV(1.0),20/02/24 23:00:00,A,NEU27_2020_FOR,NR,CH,2014,52194,
ESTAT:MIGR_IMM12PRV(1.0),20/02/24 23:00:00,A,NEU27_2020_FOR,NR,CH,2015,53358,
ESTAT:MIGR_IMM12PRV(1.0),20/02/24 23:00:00,A,NEU27_2020_FOR,NR,CH,2016,54445,
ESTAT:MIGR_IMM12PRV(1.0),20/02/24 23:00:00,A,NEU27_2020_FOR,NR,CH,2017,54235,
ESTAT:MIGR_IMM12PRV(1.0),20/02/24 23:00:00,A,NEU27_2020_FOR,NR,CH,2018,54905,
ESTAT:MIGR_IMM12PRV(1.0),20/02/24 23:00:00,A,NEU27_2020_FOR,NR,CH,2019,53486,
ESTAT:MIGR_IMM12PRV(1.0),20/02/24 23:00:00,A,NEU27_2020_FOR,NR,CH,2020,48140,
ESTAT:MIGR_IMM12PRV(1.0),20/02/24 23:00:00,A,NEU27_2020_FOR,NR,CH,2021,49212,
ESTAT:MIGR_IMM12PRV(1.0),20/02/24 23:00:00,A,NEU27_2020_FOR,NR,CY,2020,14906,
